event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SRI5993,"19 May 2022",2022,1,Demonstrations,Protests,"Protest with intervention","Protesters (Sri Lanka)","Students (Sri Lanka)",6,"Police Forces of Sri Lanka (2019-)",,1,16,,144,"South Asia","Sri Lanka",Western,Colombo,,Colombo,6.9319,79.8478,1,Virakesari,National,"On 19 May 2022, the police used tear gas and water canons to disperse the All University Student Union's protest in Colombo (Colombo, Western). The students were demanding the resignation of the President and the government over the current economic crisis. The protest was held under the theme 'Kota - We will defeat the Ranil manoeuvring government - We will bring down this system'.",0,"crowd size=no report",1714518557
SRI5985,"19 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Bokundara,6.8168,79.9207,1,Lankadeepa,National,"On 19 May 2022, people staged a protest in Bokundara (Colombo, Western) and blocked the Colombo-Horana road, demanding fuel amid the current economic crisis.",0,"crowd size=no report",1719352735
SRI5986,"19 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Thalawathugoda,6.876,79.9388,1,Lankadeepa,National,"On 19 May 2022, people staged a protest in Thalawathugoda (Thalawathugoda, Western) and blocked the Kotte road, demanding fuel amid the current economic crisis.",0,"crowd size=no report",1719352735
SRI5984,"19 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,"Dehiwala-Mount Lavinia",6.8402,79.8712,1,Lankadeepa,National,"On 19 May 2022, people staged a protest and blocked the Galle Road in Dehiwala-Mount Lavinia (Colombo, Western) demanding fuel amid the current economic crisis.",0,"crowd size=no report",1719352735
SRI5980,"18 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Gampaha,,Negombo,7.2168,79.8675,1,Lankadeepa,National,"On 18 May 2022, people staged a protest in Negombo (Gampaha, Western) and blocked the Negombo Road demanding fuel amid the current economic crisis.",0,"crowd size=no report",1680633903
SRI5983,"18 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Kesbewa,6.7914,79.9378,1,Lankadeepa,National,"On 18 May 2022, people staged a protest in Kesbewa (Colombo, Western) demanding petrol amid the current economic crisis.",0,"crowd size=no report",1680633903
SRI5990,"18 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Colombo,6.9319,79.8478,1,"News1st (Sri Lanka)",National,"On 18 May 2022, people staged a protest in the protest site 'Gota Go Gama' at Galle Face in Colombo (Colombo, Western), demanding the resignation of the President and the government over the current economic crisis. It was the 40th day they have been protesting at the site.",0,"crowd size=no report",1714518557
SRI5982,"18 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Wellawatte,6.8757,79.8596,1,Lankadeepa,National,"On 18 May 2022, people staged a protest in Wellawatte (Colombo, Western) demanding kerosine amid the current economic crisis.",0,"crowd size=no report",1719352735
SRI5981,"18 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Borella,6.9177,79.8742,1,Lankadeepa,National,"On 18 May 2022, people staged a protest in Borella (Colombo, Thimbirigasyaya, Western) and blocked the Maradana Road demanding fuel amid the current economic crisis.",0,"crowd size=no report",1719352735
SRI5972,"17 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)",6,,,0,60,,144,"South Asia","Sri Lanka",Northern,Mullaitivu,,Mullivaikkal,9.3121,80.7869,2,Virakesari,National,"On 17 May 2022, a large number of Tamils, clergy, social activists, and people from the public staged a protest and marched from Pottuvil to Mullivaikkal (Mullaivaikkal, Northern), demanding ethnic liberation.",0,"crowd size=large",1680035153
